"","razao_social","nome_fantasia","situacao_cadastral","descricao_tipo_logradouro","logradouro","numero","complemento","bairro","cep","uf","codigo_municipio","municipio","codigo_natureza_juridica","cnpj","tipo","endereco","localizacao","lat","lon"
"53","NOVA CASA BAHIA S/A","","08","AVENIDA","GUILHERME COTCHING","1442","1452                      R DIAS DA SILVA, 987      BL A, B E C DO PISO TERREO","VILA MARIA","02113012","SP","7107","SAO PAULO","2054","10757237033421","CASA BAHIA","AVENIDA GUILHERME COTCHING","SP, SAO PAULO, VILA MARIA, AVENIDA GUILHERME COTCHING, NOVA CASA BAHIA S/A",-23.5135564,-46.5862767
"54","NOVA CASA BAHIA S/A","","08","AVENIDA","CRUZEIRO DO SUL","1100","R CANINDE, S/N            SHOPPING D, LUC 01,       PISO TERREO","CANINDE","03033020","SP","7107","SAO PAULO","2054","10757237033502","CASA BAHIA","AVENIDA CRUZEIRO DO SUL","SP, SAO PAULO, CANINDE, AVENIDA CRUZEIRO DO SUL, NOVA CASA BAHIA S/A",-23.5217586,-46.6235834
"55","NOVA CASA BAHIA S/A","","08","RUA","CONSELHEIRO MOREIRA DE BARROS","2780","SANTANA PQ. SHOPPING      ESPACO COML. 1032","LAUZANE PAULISTA","02430001","SP","7107","SAO PAULO","2054","10757237033693","CASA BAHIA","RUA CONSELHEIRO MOREIRA DE BARROS","SP, SAO PAULO, LAUZANE PAULISTA, RUA CONSELHEIRO MOREIRA DE BARROS, NOVA CASA BAHIA S/A",-23.4758172,-46.6505152
"56","NOVA CASA BAHIA S/A","","08","RUA","PARAPUA","1407","1417 E 1423, ESQUINA      COM A R JOSE CAMPOS       NOVAIS","ITABERABA","02831001","SP","7107","SAO PAULO","2054","10757237033774","CASA BAHIA","RUA PARAPUA","SP, SAO PAULO, ITABERABA, RUA PARAPUA, NOVA CASA BAHIA S/A",-23.4728611,-46.6910444
"57","NOVA CASA BAHIA S/A","","08","RUA","KIZAEMON TAKEUTI","3045","3051","PIRAJUSSARA","06775003","SP","7157","TABOAO DA SERRA","2054","10757237034150","CASA BAHIA","RUA KIZAEMON TAKEUTI","SP, TABOAO DA SERRA, PIRAJUSSARA, RUA KIZAEMON TAKEUTI, NOVA CASA BAHIA S/A",-23.6414603,-46.8039667
"58","NOVA CASA BAHIA S/A","","08","RUA","DO TESOURO","240","","PARQUE SANTOS DUMONT","06754190","SP","7157","TABOAO DA SERRA","2054","10757237034231","CASA BAHIA","RUA DO TESOURO","SP, TABOAO DA SERRA, PARQUE SANTOS DUMONT, RUA DO TESOURO, NOVA CASA BAHIA S/A",-23.6084836,-46.7553146
"59","NOVA CASA BAHIA S/A","","08","AVENIDA","PIRACEMA","669","SHOP CENTER TAMBORE       LUC ANCORA H, PISO  TERREO","TAMBORE","06460030","SP","6213","BARUERI","2054","10757237034312","CASA BAHIA","AVENIDA PIRACEMA","SP, BARUERI, TAMBORE, AVENIDA PIRACEMA, NOVA CASA BAHIA S/A",-23.5038316,-46.8341052
"60","NOVA CASA BAHIA S/A","","08","AVENIDA","LEAO MACHADO","100","LOJA  (LUC) P-19,               SEGUNDO PISO              CONTINENTAL SHOPPING      CENTER","PARQUE CONTINENTAL","05328020","SP","7107","SAO PAULO","2054","10757237034584","CASA BAHIA","AVENIDA LEAO MACHADO","SP, SAO PAULO, PARQUE CONTINENTAL, AVENIDA LEAO MACHADO, NOVA CASA BAHIA S/A",-23.5175579,-46.5877787
"61","NOVA CASA BAHIA S/A","","08","AVENIDA","SANTA MARINA","2687","R ANTONIETA LEITAO        110 E 126","VILA ALBERTINA","02732040","SP","7107","SAO PAULO","2054","10757237034665","CASA BAHIA","AVENIDA SANTA MARINA","SP, SAO PAULO, VILA ALBERTINA, AVENIDA SANTA MARINA, NOVA CASA BAHIA S/A",-23.5016667,-46.6952778
"62","NOVA CASA BAHIA S/A","","08","AVENIDA","ITABERABA","5080","5084                      AV DEP. EMILIO            CARLOS,3873         APT   PAV SUPERIOR E 3877","ITABERABA","02739000","SP","7107","SAO PAULO","2054","10757237034746","CASA BAHIA","AVENIDA ITABERABA","SP, SAO PAULO, ITABERABA, AVENIDA ITABERABA, NOVA CASA BAHIA S/A",-23.4745561,-46.6687879
